n	tiempo
0	0
500	0
1000	0.016
1500	0.015
2000	0.032
2500	0.031
3000	0.062
3500	0.079
4000	0.093
4500	0.124
5000	0.172
5500	0.191
6000	0.219
6500	0.29
7000	0.372
7500	0.42
8000	0.515
8500	0.54
9000	0.585
9500	0.628
10000	0.625
