n	tiempo
0	0
500	0
1000	0.015
1500	0.016
2000	0.015
2500	0.032
3000	0.062
3500	0.078
4000	0.078
4500	0.126
5000	0.144
5500	0.204
6000	0.266
6500	0.312
7000	0.363
7500	0.418
8000	0.457
8500	0.431
9000	0.453
9500	0.555
10000	0.628
