n	tiempo
0	0
500	0.001
1000	0
1500	0.018
2000	0.034
2500	0.037
3000	0.069
3500	0.101
4000	0.121
4500	0.139
5000	0.226
5500	0.224
6000	0.333
6500	0.334
7000	0.439
7500	0.472
8000	0.472
8500	0.58
9000	0.71
9500	0.69
10000	0.763
