n	tiempo
0	0
500	0
1000	0.015
1500	0.016
2000	0.015
2500	0.054
3000	0.099
3500	0.078
4000	0.109
4500	0.174
5000	0.166
5500	0.234
6000	0.322
6500	0.317
7000	0.39
7500	0.421
8000	0.457
8500	0.437
9000	0.489
9500	0.547
10000	0.577
