n	tiempo
0	0
500	0.006
1000	0.021
1500	0.048
2000	0.053
2500	0.063
3000	0.096
3500	0.123
4000	0.128
4500	0.284
5000	0.193
5500	0.282
6000	0.299
6500	0.399
7000	0.383
7500	0.598
8000	0.551
8500	0.582
9000	0.651
9500	0.781
10000	0.833
